Haselhuhn,Hazel Grouse,,,,,,,
Mittelmeermöwe,Yellow-legged Gull,,,,,,,
Heringsmöwe,Lesser Black-backed Gull,,,,,,,
Lachseeschwalbe,Gull-billed Tern,,,,,,,
Raubseeschwalbe,Caspian Tern,,,,,,,
Rüppellseeschwalbe,Lesser Crested Tern,,,,,,,
Brandseeschwalbe,Sandwich Tern,,,,,,,
Schmuckseeschwalbe,Elegant Tern,,,,,,,
Zwergseeschwalbe,Little Tern,,,,,,,
Zügelseeschwalbe,Bridled Tern,,,,,,,
Rußseeschwalbe,Sooty Tern,,,,,,,
Rosenseeschwalbe,Roseate Tern,,,,,,,
Flussseeschwalbe,Common Tern,,,,,,,
Küstenseeschwalbe,Arctic Tern,,,,,,,
Weißbart-Seeschwalbe,Whiskered Tern,,,,,,,
Weißflügel-Seeschwalbe,White-winged Tern,,,,,,,
Trauerseeschwalbe,Black Tern,,,,,,,
Skua,Great Skua,,,,,,,
Spatelraubmöwe,Pomarine Skua,,,,,,,
Schmarotzerraubmöwe,Parasitic Jaeger,,,,,,,
Falkenraubmöwe,Long-tailed Jaeger,,,,,,,
Krabbentaucher,Little Auk,,,,,,,
Dickschnabellumme,Thick-billed Murre,,,,,,,
Trottellumme,Common Murre,,,,,,,
Tordalk,Razorbill,,,,,,,
Gryllteiste,Black Guillemot,,,,,,,
Papageitaucher,Atlantic Puffin,,,,,,,
Sterntaucher,Red-throated Loon,,,,,,,
Prachttaucher,Black-throated Loon,,,,,,,
Eistaucher,Great Northern Loon,,,,,,,
Gelbschnabeltaucher,Yellow-billed Loon,,,,,,,
Buntfuß-Sturmschwalbe,Wilson's Storm Petrel,,,,,,,
Schwarzbrauenalbatros,Black-browed Albatross,,,,,,,
Wellenläufer,Leach's Storm Petrel,,,,,,,
Eissturmvogel,Northern Fulmar,,,,,,,
Sepiasturmtaucher,Cory's Shearwater,,,,,,,
Atlantiksturmtaucher,Manx Shearwater,,,,,,,
Balearensturmtaucher,Balearic Shearwater,,,,,,,
Schwarzstorch,Black Stork,,,,,,,
Weißstorch,White Stork,,,,,,,
Basstölpel,Northern Gannet,,,,,,,
Weißbauchtölpel,Brown Booby,,,,,,,
Zwergscharbe,Pygmy Cormorant,,,,,,,
Krähenscharbe,European Shag,,,,,,,
Kormoran,Great Cormorant,,,,,,,
Sichler,Glossy Ibis,,,,,,,
Löffler,Eurasian Spoonbill,,,,,,,
Rohrdommel,Great Bittern,Eurasian Bittern,,,,,,
Zwergdommel,Little Bittern,,,,,,,
Nachtreiher,Black-crowned Night-Heron,,,,,,,
Rallenreiher,Squacco Heron,,,,,,,
Kuhreiher,Western Cattle Egret,,,,,,,
Graureiher,Gray Heron,,,,,,,
Purpurreiher,Purple Heron,,,,,,,
Silberreiher,Great Egret,,,,,,,
Seidenreiher,Little Egret,,,,,,,
Rosapelikan,Great White Pelican,,,,,,,
Krauskopfpelikan,Dalmatian Pelican,,,,,,,
Fischadler,Osprey,Western Osprey,,,,,,
Gleitaar,Black-winged Kite,,,,,,,
Bartgeier,Bearded Vulture,,,,,,,
Schmutzgeier,Egyptian Vulture,,,,,,,
Wespenbussard,European Honey-buzzard,,,,,,,
Gänsegeier,Griffon Vulture,,,,,,,
Mönchsgeier,Cinereous Vulture,,,,,,,
Schlangenadler,Short-toed Snake Eagle,,,,,,,
Schreiadler,Lesser Spotted Eagle,,,,,,,
Schelladler,Greater Spotted Eagle,,,,,,,
Zwergadler,Booted Eagle,,,,,,,
Steppenadler,Steppe Eagle,,,,,,,
Kaiseradler,Eastern Imperial Eagle,,,,,,,
Steinadler,Golden Eagle,,,,,,,
Habichtsadler,Bonelli's Eagle,,,,,,,
Sperber,Eurasian Sparrowhawk,,,,,,,
Habicht,Northern Goshawk,,,,,,,
Rohrweihe,Eurasian Marsh-Harrier,Western Marsh Harrier,,,,,,
Kornweihe,Hen Harrier,,,,,,,
Steppenweihe,Pallid Harrier,,,,,,,
Wiesenweihe,Montagu's Harrier,,,,,,,
Rotmilan,Red Kite,,,,,,,
Schwarzmilan,Black Kite,,,,,,,
Seeadler,White-tailed Eagle,,,,,,,
Raufußbussard,Rough-legged Buzzard,,,,,,,
Adlerbussard,Long-legged Buzzard,,,,,,,
Mäusebussard,Common Buzzard,,,,,,,
Schleiereule,Western Barn Owl,,,,,,,
Zwergohreule,Eurasian Scops Owl,,,,,,,
Schneeeule,Snowy Owl,,,,,,,
Uhu,Eurasian Eagle-Owl,,,,,,,
Waldkauz,Tawny Owl,,,,,,,
Habichtskauz,Ural Owl,,,,,,,
Sperbereule,Northern Hawk-Owl,,,,,,,
Sperlingskauz,Eurasian Pygmy Owl,,,,,,,
Steinkauz,Little Owl,,,,,,,
Raufußkauz,Boreal Owl,,,,,,,
Waldohreule,Long-eared Owl,,,,,,,
Sumpfohreule,Short-eared Owl,,,,,,,
Wiedehopf,Eurasian Hoopoe,,,,,,,
Blauracke,European Roller,,,,,,,
Eisvogel,Common Kingfisher,,,,,,,
Blauwangenspint,Blue-cheeked Bee-eater,,,,,,,
Bienenfresser,European Bee-eater,,,,,,,
Wendehals,Eurasian Wryneck,,,,,,,
Dreizehenspecht,Eurasian Three-toed Woodpecker,,,,,,,
Mittelspecht,Middle Spotted Woodpecker,,,,,,,
Kleinspecht,Lesser Spotted Woodpecker,,,,,,,
Blutspecht,Syrian Woodpecker,,,,,,,
Buntspecht,Great Spotted Woodpecker,,,,,,,
Weißrückenspecht,White-backed Woodpecker,,,,,,,
Schwarzspecht,Black Woodpecker,,,,,,,
Grünspecht,Eurasian Green Woodpecker,European Green Woodpecker,,,,,,
Grauspecht,Gray-headed Woodpecker,,,,,,,
Rötelfalke,Lesser Kestrel,,,,,,,
Turmfalke,Common Kestrel,,,,,,,
Rotfußfalke,Red-footed Falcon,,,,,,,
Eleonorenfalke,Eleonora's Falcon,,,,,,,
Merlin,Merlin,,,,,,,
Baumfalke,Eurasian Hobby,,,,,,,
Würgfalke,Saker Falcon,,,,,,,
Gerfalke,Gyrfalcon,,,,,,,
Wanderfalke,Peregrine Falcon,,,,,,,
Halsbandsittich,Rose-ringed Parakeet,,,,,,,
Braunwürger,Brown Shrike,,,,,,,
Neuntöter,Red-backed Shrike,,,,,,,
Isabellwürger,Isabelline Shrike,,,,,,,
Schwarzstirnwürger,Lesser Gray Shrike,,,,,,,
Raubwürger,Great Gray Shrike,,,,,,,
Rotkopfwürger,Woodchat Shrike,,,,,,,
Maskenwürger,Masked Shrike,,,,,,,
Pirol,Eurasian Golden Oriole,,,,,,,
Eichelhäher,Eurasian Jay,,,,,,,
Elster,Eurasian Magpie,,,,,,,
Tannenhäher,Spotted Nutcracker,,,,,,,
Alpendohle,Alpine Chough,,,,,,,
Dohle,Eurasian Jackdaw,,,,,,,
Saatkrähe,Rook,,,,,,,
Rabenkrähe,Carrion Crow,,,,,,,
Nebelkrähe,Hooded Crow,,,,,,,
Kolkrabe,Common Raven,Northern Raven,,,,,,
Seidenschwanz,Bohemian Waxwing,,,,,,,
Tannenmeise,Coal Tit,,,,,,,
Haubenmeise,Crested Tit,European Crested Tit,,,,,,
Sumpfmeise,Marsh Tit,,,,,,,
Weidenmeise,Willow Tit,,,,,,,
Blaumeise,Eurasian Blue Tit,,,,,,,
Kohlmeise,Great Tit,,,,,,,
Beutelmeise,Eurasian Penduline-Tit,,,,,,,
Bartmeise,Bearded Reedling,,,,,,,
Heidelerche,Wood Lark,,,,,,,
Feldlerche,Eurasian Skylark,,,,,,,
Haubenlerche,Crested Lark,,,,,,,
Ohrenlerche,Horned Lark,,,,,,,
Kurzzehenlerche,Greater Short-toed Lark,,,,,,,
Kalanderlerche,Calandra Lark,,,,,,,
Uferschwalbe,Sand Martin,,,,,,,
Rauchschwalbe,Barn Swallow,,,,,,,
Felsenschwalbe,Eurasian Crag Martin,,,,,,,
Mehlschwalbe,Common House-Martin,Common House Martin,,,,,,
Rötelschwalbe,Red-rumped Swallow,,,,,,,
Seidensänger,Cetti's Warbler,,,,,,,
Schwanzmeise,Long-tailed Tit,,,,,,,
Waldlaubsänger,Wood Warbler,,,,,,,
Berglaubsänger,Western Bonelli's Warbler,,,,,,,
Tienschan-Laubsänger,Hume's Leaf Warbler,,,,,,,
Gelbbrauen-Laubsänger,Yellow-browed Warbler,,,,,,,
Goldhähnchen-Laubsänger,Pallas's Leaf Warbler,,,,,,,
Bartlaubsänger,Radde's Warbler,,,,,,,
Dunkellaubsänger,Dusky Warbler,,,,,,,
Fitis,Willow Warbler,,,,,,,
Zilpzalp,Common Chiffchaff,,,,,,,
Iberienzilpzalp,Iberian Chiffchaff,,,,,,,
Kronenlaubsänger,Eastern Crowned Warbler,,,,,,,
Wacholderlaubsänger,Green Warbler,,,,,,,
Grünlaubsänger,Greenish Warbler,,,,,,,
Wanderlaubsänger,Arctic Warbler,,,,,,,
Drosselrohrsänger,Great Reed Warbler,,,,,,,
Mariskenrohrsänger,Moustached Warbler,,,,,,,
Seggenrohrsänger,Aquatic Warbler,,,,,,,
Schilfrohrsänger,Sedge Warbler,,,,,,,
Feldrohrsänger,Paddyfield Warbler,,,,,,,
Buschrohrsänger,Blyth's Reed Warbler,,,,,,,
Teichrohrsänger,Eurasian Reed Warbler,,,,,,,
